ID,Marca temporal,Grupo,¿En qué horario está llenando el formulario?,¿En qué torre se encuentra?,Piso,Ambiente,Nivel de presión sonora (dB),Temperatura ambiental,Numero_mobiliario,Frecuencia sonora,Nivel de iluminancia,Cantidad de luminarias (focos) funcionando,N° de personas presentes,N° de tomacorrientes disponibles,Tipo de ventilación,Fuente principal de ruido,Fuente de luz,Propósito en la comunidad,Tipo de distractores no relacionados con su propósito
3B1-2904-18,29/4/2026 18:38:33,Grupo 8,18,B,3,1,23.2,18,6,34.5,0.072,8,4,8,Híbrida,Pasillos,Artificial,Esparcimiento,Visuales
1B3-3004-09,30/4/2026 9:08:43,Grupo 5,09,B,1,3,144.63,21,32,122.24,7607.21,0,4,10,Natural,Charla de estudiantes,Natural,Socialización,Auditivos
1S2-3004-09,30/4/2026 9:32:30,Grupo 8,09,S,1,2,24.3,20,20,34.5,4.816,0,15,20,Mecánica (aire acondicionado),Charla de estudiantes,Artificial,Estudio,Visuales
1A4-3004-09,30/4/2026 9:47:02,Grupo 4,09,A,1,4,134.47,21.5,39 sillas y 5 mesas,1200,374,16,19,10,Mecánica (aire acondicionado),Obras de construcción,Artificial,Estudio,Auditivos
1A5-3004-09,30/4/2026 10:15:30,Grupo 4,09,A,1,5,135.03,20,5 sillones,1312.56,277,13,8,2,Mecánica (aire acondicionado),Charla de estudiantes,Artificial,Tránsito,Auditivos
2A2-3004-09,30/4/2026 11:20:15,Grupo 3,09,A,2,2,-36,24,35,1.3,450,9,30,10,Híbrida,Obras de construcción,Mixta,Socialización,Visuales
9A1-3004-13,30/4/2026 13:30:57,Grupo 8,13,A,9,1,05,25,35,05,05,Todos,20,24,Natural,Tráfico vehicular,Mixta,Estudio,Visuales
1B3-3004-13,30/4/2026 13:34:11,Grupo 5,13,B,1,3,133.27,23,11,63.11,5575.21,0,21,10,Natural,Charla de estudiantes,Natural,Socialización,Visuales
6A2-3004-13,30/4/2026 14:12:57,Grupo 8,13,A,6,2,4,25,20,7,30,3,8,6,Híbrida,Charla de estudiantes,Natural,Estudio,Tecnológicos
1A4-3004-13,30/4/2026 14:54:34,Grupo 4,13,A,1,4,171.9,20,62 cubiculos,93.75,1103.22,22,7,10,Híbrida,Pasillos,Artificial,Estudio,Visuales
1A5-3004-13,30/4/2026 15:02:16,Grupo 4,13,A,1,5,170.3,21,2,70.31,541.78,13,4,0,Mecánica (aire acondicionado),Charla de estudiantes,Artificial,Tránsito,Auditivos
6A2-3004-18,30/4/2026 15:11:10,Grupo 8,18,A,6,2,1.56,98.9,5,6.24,2.35,2.67,3,6,Natural,Tráfico vehicular,Artificial,Descanso,Visuales
5B1-3004-13,30/4/2026 15:35:42,Grupo 8,13,B,5,1,10,20,7,No se,No se,2,3,6,Híbrida,Obras de construcción,Mixta,Estudio,Auditivos
3A2-3004-13,30/4/2026 15:45:48,Grupo 1,13,A,3,2,162.37,22,1,0.26,74.71,0,3,2,Natural,Tráfico vehicular,Natural,Tránsito,Auditivos
3A1-3004-13,30/4/2026 16:18:06,Grupo 1,13,A,3,1,145.18,21,0,0.37,347.06,0,1,2,Natural,Tráfico vehicular,Natural,Tránsito,Auditivos
9A4-3004-13,30/4/2026 16:19:40,Grupo 1,13,A,9,4,147.78,21,0,0.24,898.95,0,4,1,Natural,Tráfico vehicular,Natural,Tránsito,Auditivos
9A3-3004-13,30/4/2026 16:31:35,Grupo 1,13,A,9,3,131.29,22,45,0.03,435.16,5,5,10,Natural,Charla de estudiantes,Mixta,Estudio,Tecnológicos
9A5-3004-13,30/4/2026 16:52:31,Grupo 1,13,A,9,5,162.05,21,0,0.23,2475.09,0,3,0,Natural,Tráfico vehicular,Natural,Tránsito,Auditivos
9A1-3004-13,30/4/2026 17:06:31,Grupo 1,13,A,9,1,138.74,21,45,0.69,147.04,4,8,10,Natural,Charla de estudiantes,Mixta,Estudio,Tecnológicos
1B3-3004-18,30/4/2026 18:04:42,Grupo 5,18,B,1,3,133.11,24,40,64.91,118,0,24,10,Natural,Charla de estudiantes,Natural,Socialización,Auditivos
11A1-3004-18,30/4/2026 18:17:22,Grupo 6,18,A,11,1,132.32,19,0,256.58,138.86,3,5,4,Natural,Tráfico vehicular,Artificial,Descanso,Auditivos
1B1-3004-18,30/4/2026 18:19:14,Grupo 5,18,B,1,1,137.77,26,174,210.38,177.87,31,6,0,Mecánica (aire acondicionado),Pasillos,Artificial,Alimentación,Auditivos
1A4-3004-13,30/4/2026 18:19:43,Grupo 4,13,A,1,4,166.6,23,69,70.31,659.54,20,15,14,Mecánica (aire acondicionado),Pasillos,Artificial,Estudio,Visuales
11A2-3004-18,30/4/2026 18:21:28,Grupo 6,18,A,11,2,134.42,19,0,254.63,131.78,3,4,4,Natural,Tráfico vehicular,Artificial,Descanso,Auditivos
11A3-3004-18,30/4/2026 18:24:47,Grupo 6,18,A,11,3,133.73,19,0,217.54,118.72,2,0,2,Natural,Tráfico vehicular,Artificial,Tránsito,Auditivos
1A5-3004-13,30/4/2026 18:25:00,Grupo 4,13,A,1,5,174.4,24,3,234.38,337.57,13,16,0,Mecánica (aire acondicionado),Pasillos,Artificial,Esparcimiento,Visuales
1B1-3004-09,30/4/2026 18:29:32,Grupo 5,09,B,1,1,150.79,23,156,500.87,71.84,0,18,1,Mecánica (aire acondicionado),Charla de estudiantes,Mixta,Alimentación,Auditivos
1B1-3004-13,30/4/2026 18:34:45,Grupo 5,13,B,1,1,152.67,23,48,436.28,28.74,2,126,1,Mecánica (aire acondicionado),Charla de estudiantes,Mixta,Alimentación,Auditivos
10A1-3004-18,30/4/2026 18:48:41,Grupo 6,18,A,10,1,124.17,20,24,70.31,149.86,11,7,20,Mecánica (aire acondicionado),Pasillos,Mixta,Estudio,Tecnológicos
10A2-3004-18,30/4/2026 18:52:19,Grupo 6,18,A,10,2,124.3,20,18,97.34,149.68,14,8,30,Mecánica (aire acondicionado),Charla de estudiantes,Artificial,Descanso,Tecnológicos
